SECTOR,BETA_5Y,INTERCEPT_5Y,annualized_return_of_equity_5Y,annualized_standard_deviation_of_equity_5Y
CONSTRUCTION,0.8999582332823401,0.00030879985628762616,-0.0009717970371008398,1.5461651266236633
CONSUMER PRODUCTS & SERVICES,0.6908515019766642,0.0006149526194124777,-0.0027391394993739613,1.0061367164128328
ENERGY,1.4070994457393724,0.002988184831607907,0.0021199065786773846,5.687203106239027
ETF-LEVERAGED AND INVERSE,0.04830494003959291,0.00025757575519126923,-9.42684479680785e-05,0.4563473679429198
EXCHANGE TRADED FUND-BOND,0.04324955514964179,-7.092374479772924e-05,0.006907806008826123,0.08852534257197953
EXCHANGE TRADED FUND-COMMODITY,0.050736873727603174,-4.091013676235034e-05,0.003959634419361535,0.1957629482574504
EXCHANGE TRADED FUND-EQUITY,0.1137980796817225,0.00047146978420319334,-0.0008808299639991363,0.5824138393166695
FINANCIAL SERVICES,0.7526981544577204,0.0005917167119340163,-0.0013538229606852154,0.6656701606215643
HEALTH CARE,0.7648480439204868,0.000812307286969675,-0.0035296745797264886,0.6449866158844145
INDUSTRIAL PRODUCTS & SERVICES,0.8331810668263177,0.0011319554681715107,-0.0018027123788050775,1.4925347981994144
PLANTATION,1.001232909848348,0.0023620928032685663,-0.005139716960457011,1.5237732273525881
PROPERTY,0.6184613995984141,0.0007084107785170685,-0.0027465344312468673,1.6349374761978006
REAL ESTATE INVESTMENT TRUSTS,0.34645569545252897,-6.548675082431246e-05,-0.007361705645190925,0.28027737994849633
SPECIAL PURPOSE ACQUISITION COMPANY,0.01310367671379491,-7.189327251146978e-05,-3.3306690738754696e-16,0.06258889954828377
TECHNOLOGY,1.2062917210218753,0.0037440268418762724,0.006430393063348091,2.7871616018389145
TELECOMMUNICATIONS & MEDIA,0.913605733243532,0.0014386657657628021,0.0003093005396903291,2.2845026707361624
TRANSPORTATION & LOGISTICS,0.7680258628403476,0.0005325502099000397,-0.0013483078223917437,1.4752839093046426
UTILITIES,0.7526710021047609,0.00035315476300004547,-0.001969582677068243,0.43409241287809436
